book,author,placement,price,nprice
Программируем с детьми. Создайте 50 крутых игр на Python,А. Таке,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 87, полка 05","Цена: 1169,00 руб.",1169.0
Алгоритмы на графах: Использование языка Python,"О. И. Мельников , А. А. Морозов","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 619,00 руб.",619.0
Python для детей и родителей.,Б. Пэйн,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 06","Цена: 999,00 руб.",999.0
Статистические вычисления на платформе Jupyter Notebook с использованием Python,С. Я. Криволапов,"Расположение в торговом зале: Уровень 1, зал № 07, секция 09, шкаф 104, полка 06","Цена: 1499,00 руб.",1499.0
Изучаем квантовые вычисления на Python и Q#,"С. Кайзер, К. Гранад","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 06","Цена: 3569,00 руб.",3569.0
Программирование на языке Python. Основы структурного программирования,"К. А. Майков , А. Н. Пылькин , Ю. С. Соколова , Н. Н. Степанов , Н. А. Тярт","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 679,00 руб.",679.0
"Изучаем Python, том 1",М.  Лутц,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 2849,00 руб.",2849.0
"Справочник PYTHON.  Кратко, быстро, под рукой","Д. М. Кольцов , Е. В. Дубовик ","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 499,00 руб.",499.0
"Изучаем Python, том 2,",М.Лутц,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 2849,00 руб.",2849.0
Легкий способ выучить Python 3,З. Шоу,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 889,00 руб.",889.0
Программирование на Python в примерах и задачах,Программирование на Python в примерах и задачах,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 04","Цена: 1169,00 руб.",1169.0
Python : Карманный справочник,Python : Карманный справочник,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 689,00 руб.",689.0
"Python и машинное обучение: машинное и глубокое обучение с использованием Python, scikit-learn и TenFlow","Python и машинное обучение: машинное и глубокое обучение с использованием Python, scikit-learn и TenFlow","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 2849,00 руб.",2849.0
Простой Python просто с нуля,Простой Python просто с нуля,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 1069,00 руб.",1069.0
Python. Экспресс-курс,Python. Экспресс-курс,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 03","Цена: 1399,00 руб.",1399.0
Начинаем программировать на Python,Начинаем программировать на Python,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 08","Цена: 2069,00 руб.",2069.0
Python для сложных задач: наука о данных и машинное обучение,Python для сложных задач: наука о данных и машинное обучение,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 03","Цена: 1839,00 руб.",1839.0
Глубокое обучение на Python,Глубокое обучение на Python,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 04","Цена: 1289,00 руб.",1289.0
Введение в машинное обучение с помощью Python,Введение в машинное обучение с помощью Python,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 85, полка 04","Цена: 2849,00 руб.",2849.0
Основы Python. Научитесь думать как программист,Основы Python. Научитесь думать как программист,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 06","Цена: 1259,00 руб.",1259.0
