id,catps,mstat,soc,econ,eng,polth,mstat2,phist,law,phil,polsoc,ptheo,preg,compp,game,wpol,male
М141БПЛТЛ024,7,9,8,8,9,8,10,8,7,9,9,7,8,8,6,10,1
М141БПЛТЛ031,8,10,10,10,10,10,10,9,9,10,10,9,8,8,9,10,1
М141БПЛТЛ075,9,9,9,10,9,10,9,8,9,10,9,9,8,8,7,9,1
М141БПЛТЛ017,9,9,8,8,9,9,10,6,9,9,9,8,8,8,8,9,0
М141БПЛТЛ069,10,10,10,10,10,10,9,8,8,10,9,7,6,5,8,10,1
М141БПЛТЛ072,10,9,8,10,9,8,9,8,8,10,9,7,8,8,9,9,0
М141БПЛТЛ020,8,7,7,6,9,10,8,8,7,7,9,7,8,6,8,9,1
М141БПЛТЛ026,7,10,8,7,10,7,9,8,8,8,8,8,8,7,7,8,0
М141БПЛТЛ073,7,9,8,8,9,8,9,8,8,9,9,7,7,6,10,9,1
М141БПЛТЛ078,6,6,9,5,6,10,7,6,8,6,9,6,8,8,6,7,0
М141БПЛТЛ060,7,8,7,7,9,8,8,5,7,5,8,5,7,8,7,9,1
М141БПЛТЛ040,6,9,8,6,9,7,8,6,9,5,8,5,8,5,7,10,0
М141БПЛТЛ065,9,9,8,4,8,8,7,9,8,5,10,9,8,8,6,9,1
М141БПЛТЛ053,6,7,7,5,9,8,7,8,8,6,8,7,8,6,9,9,0
М141БПЛТЛ015,6,9,7,6,9,7,9,4,7,7,7,6,7,7,10,7,0
М141БПЛТЛ021,8,9,8,8,9,8,8,7,7,7,6,6,8,6,7,8,0
М141БПЛТЛ018,7,7,9,7,9,7,8,6,6,7,8,7,7,7,7,8,0
М141БПЛТЛ039,9,8,9,8,8,8,6,8,7,6,9,6,7,8,4,9,1
М141БПЛТЛ036,8,10,7,8,8,6,9,4,8,8,7,6,7,6,7,8,1
М141БПЛТЛ049,6,7,6,6,8,6,8,4,8,5,9,6,8,5,6,8,0
06114043,8,8,10,5,8,8,8,10,7,7,9,,7,8,7,8,1
М141БПЛТЛ048,8,6,8,6,9,6,4,4,6,4,8,4,6,7,7,8,0
М141БПЛТЛ034,6,9,7,6,9,6,8,6,7,6,6,5,8,5,8,9,0
М141БПЛТЛ045,5,8,8,7,8,6,7,6,7,7,8,6,8,6,5,8,0
М141БПЛТЛ033,5,9,8,7,9,7,9,7,7,8,8,7,8,5,7,8,0
М141БПЛТЛ083,5,5,6,5,8,7,6,5,7,5,7,5,7,5,4,7,0
М141БПЛТЛ008,10,8,8,9,8,10,9,8,9,10,9,8,5,5,10,4,1
М141БПЛТЛ001,6,7,7,4,10,7,7,6,8,6,8,4,6,6,4,8,0
М141БПЛТЛ038,7,9,6,4,9,6,7,6,7,4,8,4,5,4,9,7,1
М141БПЛТЛ052,7,7,7,7,8,6,6,6,8,6,7,5,8,6,5,7,1
М141БПЛТЛ011,7,6,8,6,9,6,6,5,6,6,7,6,8,6,5,8,0
М141БПЛТЛ004,7,7,6,6,8,6,6,5,5,5,6,5,7,5,8,8,0
М141БПЛТЛ010,6,6,7,6,9,7,7,6,7,5,8,6,8,6,5,8,1
М141БПЛТЛ071,6,9,7,7,9,6,8,4,6,7,7,6,5,,5,7,0
М141БПЛТЛ035,5,6,7,6,8,5,5,4,6,6,7,5,8,7,6,7,0
М141БПЛТЛ030,7,6,6,6,7,6,6,4,8,5,5,5,8,5,7,9,1
М141БПЛТЛ070,5,5,6,4,8,6,5,5,6,4,5,6,8,5,6,7,0
М141БПЛТЛ051,8,9,8,6,8,7,6,7,6,6,6,5,4,4,5,5,1
М141БПЛТЛ046,5,7,7,4,7,5,8,5,7,5,7,5,8,4,5,7,0
М141БПЛТЛ047,5,8,6,4,7,5,9,5,6,4,6,4,7,4,8,8,0
М141БПЛТЛ063,5,5,6,4,8,4,4,4,5,4,5,4,7,5,8,8,0
М141БПЛТЛ029,6,8,8,7,9,5,6,7,6,5,8,5,7,4,5,7,0
М141БПЛТЛ064,7,8,6,7,6,6,8,4,6,4,4,4,6,5,4,7,0
М141БПЛТЛ076,7,7,8,6,8,6,6,6,8,6,8,5,7,4,4,6,0
М141БПЛТЛ062,7,7,7,6,9,6,6,5,6,5,6,4,5,5,4,6,0
М141БПЛТЛ074,5,6,7,4,7,6,5,6,6,6,8,6,6,6,8,8,1
130232038,6,7,6,5,8,4,8,4,8,4,5,5,6,4,5,6,0
М141БПЛТЛ023,7,9,6,8,9,6,9,4,7,7,7,6,4,4,7,5,1
М141БПЛТЛ054,7,8,6,4,8,6,4,4,6,4,8,4,4,4,4,8,1
М141БПЛТЛ012,6,6,7,4,10,6,5,4,7,5,7,4,5,4,4,8,1
М141БПЛТЛ006,6,5,6,5,8,5,5,5,6,4,7,5,7,5,6,8,0
М141БПЛТЛ055,6,5,6,4,7,7,4,8,5,4,6,4,6,5,4,5,1
М141БПЛТЛ007,6,7,7,6,7,6,7,4,5,5,6,5,4,5,4,7,1
М141БПЛТЛ050,8,6,6,6,8,4,5,4,5,5,6,4,5,4,6,6,0
М141БПЛТЛ066,7,10,7,7,9,5,8,4,6,5,6,4,6,4,5,6,0
М141БПЛТЛ043,5,5,6,5,8,5,6,5,6,4,5,4,5,,4,6,0
М141БПЛТЛ084,6,7,8,4,8,5,5,,8,4,4,4,4,4,6,7,1
М141БПЛТЛ005,5,7,5,5,7,4,7,4,5,4,5,5,4,4,4,8,1
М141БПЛТЛ044,4,5,7,4,6,4,4,5,4,4,4,4,6,,5,5,1
13051038,5,4,4,4,9,5,5,5,5,4,4,,7,4,4,4,1
